Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202400036120;2;10;2024;08:50;1;42;42044;2;1;1;2;Rue de la République;45,39541000;4,31419000
202400017105;2;7;2024;16:55;1;50;50487;1;1;1;6;A84;48,52842900; -1,34394800
202400023142;7;3;2024;17:30;1;80;80489;2;1;1;7;Avenue Henri Barbusse;49,86930000;2,36067000
202400039422;6;4;2024;14:45;1;14;14326;1;1;1;1;Route de Cormeilles;49,17487200;0,29952800
202400053644;13;7;2024;02:20;3;55;55072;1;1;2;7;D908;49,16442702;5,63290781
202400028126;26;7;2024;20:11;1;56;56082;1;1;1;6;Bois de Digouet;47,96762900; -2,48947600
202400035822;14;5;2024;19:30;1;69;69388;2;1;2;4;Boulevard des Etats-Unis;45,73833483;4,86046860
202400000315;12;2;2024;04:25;3;974;97407;1;1;1;3;ROUTE NATIONALE N° 1; -20,95051000;55,31940000
202400049159;6;5;2024;02:20;5;31;31197;2;1;2;6;40 Route de Pinas;43,13290400;0,52161600
202400030111;18;5;2024;03:00;5;77;77058;2;1;1;6;EUROPE (AVENUE DE L' );48,83083000;2,71101000
202400038362;30;9;2024;18:25;1;80;80021;2;2;8;3;Avenue de l'Europe;49,91166600;2,30250400
202400043231;17;7;2024;09:00;1;50;50550;1;3;1;3;D53;49,12509000; -1,38328000
202400013459;14;3;2024;09:35;1;37;37261;2;1;1;2;POMPIDOU (AVENUE GEORGES);47,38358000;0,71110000
202400037270;15;1;2024;15:15;1;93;93051;2;5;7;6;Rue Rouget de Lisle / Avenue du Général de Gaulle;48,84340635;2,55952549
202400042389;2;11;2024;20:11;5;42;42187;2;3;1;3;Rue Mulsant;46,03810500;4,06006565
202400013371;14;3;2024;16:50;1;974;97411;2;1;1;4;JAURES (BLD 1 JEAN); -20,88966000;55,45208000
202400022754;8;10;2024;23:15;3;78;78217;1;1;1;2;A13;48,96532500;1,81636700
202400046214;20;8;2024;21:33;5;81;81163;2;3;1;3;JUIN (MARECHAL);43,50711000;2,37820000
202400016691;29;5;2024;16:05;1;92;92064;2;9;2;3;DAILLY;48,84458187;2,22039053
202400013151;15;10;2024;16:40;1;59;59033;2;6;1;6;PARMENTIER (RUE);50,20270000;3,83584000
202400015122;2;7;2024;15:40;1;75;75117;2;1;1;4;BD PERIPHERIQUE INTERIEUR;48,88398100;2,28527900
202400025301;7;3;2024;15:30;1;42;42041;1;1;1;2;Route de Feurs;45,71028500;4,18943900
202400022559;24;5;2024;13:25;1;51;51454;2;1;1;6;JEANNE D'ARC (RUE');49,25302000;4,02659000
202400039657;25;8;2024;23:00;5;987;98725;1;1;1;1;RT.2 à hauteur du PK11+800; -17,50672800; -149,47238800
202400017279;12;3;2024;08:10;1;92;92077;2;1;1;3;ST CLOUD (RUE DE);48,82854905;2,19203174
202400043232;10;5;2024;11:45;1;94;94038;1;1;1;3;A6B;48,78289290;2,34713213
202400049170;6;5;2024;08:30;1;02;02571;2;1;1;6;6 Rue Marécat;49,88091200;3,31391500
202400038535;16;6;2024;02:10;5;76;76351;2;1;1;6;GUILLEMARD;49,49814000;0,09424000
202400005188;19;10;2024;19:30;5;50;50129;2;6;8;5;ROND POINT DE CAPEL;49,65778000; -1,66797400
202400053200;23;10;2024;04:38;3;42;42237;1;1;8;5;N88;45,44266000;4,46362000
202400022914;25;6;2024;16:00;1;94;94081;2;1;1;6;Rue Gabriel Péri;48,79603034;2,39996499
202400012734;3;8;2024;02:53;3;77;77495;1;1;1;2;A5B;48,57525736;2,63912291
202400010418;4;2;2024;18:10;1;974;97407;1;3;1;3;OWENS JAMES; -20,93687313;55,32449019
202400017875;7;9;2024;14:40;1;45;45068;2;1;2;6;12 Rue Marcel Paul;48,01200000;2,72237000
202400019376;11;3;2024;17:45;1;29;29097;2;1;1;3;Rue du Stade;48,48688900; -4,03815200
202400016113;9;9;2024;13:50;1;77;77083;2;1;1;6;GENERAL DE  GAULLE (AVENUE DU);48,85088442;2,59099356
202400051604;27;8;2024;23:15;3;69;69187;1;3;1;7;Chemin des Alouettes;45,76633700;4,42121900
202400029938;2;9;2024;16:40;1;82;82132;2;1;1;1;route de caussade;44,07807900;1,61635300
202400015319;1;7;2024;01:10;3;13;13215;1;1;1;2;A7-Sens Lyon vers Marseille;43,36183000;5,36044000
202400050559;4;1;2024;12:25;1;75;75106;2;3;8;6;RUE DU CHERCHE MIDI;48,84923000;2,32583600
202400043070;3;4;2024;09:45;1;73;73064;2;1;2;2;D1006;45,55176068;5,98182732
202400041615;23;2;2024;14:45;1;77;77273;1;1;2;6;D41;49,04885500;2,76311000
202400041368;11;2;2024;18:45;2;974;97417;2;1;2;3;Route Nationale 2 Baril; -21,36960682;55,72331643
202400046243;6;12;2024;23:30;3;28;28425;1;1;1;2;A11 au PK042.200;48,50426500;1,70728000
202400031182;3;3;2024;01:19;5;13;13208;2;1;2;6;MENDES FRANCE (AVENUE);43,24949000;5,37508000
202400007415;19;3;2024;10:42;1;2A;2A004;2;1;1;6;1 Bd Dominique Pugliesi Conti;41,91320000;8,72625000
