Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202400008466;203 968 624;155 766 899;A01;1;1;1;1;1975.0;4;1;8;-1;-1; -1;-1
202400008466;203 968 626;155 766 900;B01;1;1;4;1;1990.0;0;1;0;-1;-1; -1;-1
202400008466;203 968 628;155 766 902;C01;1;1;1;1;1994.0;4;1;8;-1;-1; -1;-1
202400008471;203 968 613;155 766 893;A01;10;3;3;1;2012.0;2;0;-1;-1;4;3;1
202400008471;203 968 615;155 766 893;A01;1;1;1;2;1969.0;4;8;0;-1;-1; -1;-1
202400008474;203 968 606;155 766 888;B01;1;1;1;2;1961.0;5;1;0;-1;0;0;-1
202400008474;203 968 608;155 766 890;A01;1;1;4;1;2004.0;5;2;6;-1;0;0;-1
202400008480;203 968 595;155 766 878;A01;1;1;3;1;2001.0;0;2;0;-1;0;0;-1
202400008480;203 968 596;155 766 879;B01;1;1;1;1;2001.0;0;1;0;-1;0;0;-1
202400008493;203 968 564;155 766 856;A01;1;1;4;2;1981.0;0;2;6;-1;-1; -1;-1
202400008493;203 968 566;155 766 858;B01;1;1;1;1;1981.0;4;1;-1;-1;-1; -1;-1
202400008501;203 968 540;155 766 841;B01;1;1;4;1;1993.0;1;8;0;0;-1; -1;-1
202400008501;203 968 541;155 766 842;A01;1;1;1;1;1947.0;5;1;0;0;-1; -1;-1
202400008501;203 968 542;155 766 842;A01;2;2;1;2;1979.0;0;1;0;0;-1; -1;-1
202400008518;203 968 494;155 766 802;A01;1;1;3;2;1997.0;5;1;-1;-1;0;0;-1
202400008518;203 968 495;155 766 804;D01;1;1;4;1;1985.0;5;1;-1;-1;0;0;-1
202400008518;203 968 497;155 766 805;B01;1;1;1;1;1986.0;5;1;-1;-1;0;0;-1
202400008518;203 968 500;155 766 808;C01;1;1;1;1;1977.0;5;1;-1;-1;0;0;-1
202400008538;203 968 451;155 766 769;A01;1;1;1;1;1941.0;5;1;0;-1;-1; -1;-1
202400008538;203 968 453;155 766 769;A01;10;3;2;2;1941.0;5;0;-1;-1;2;3;1
202400008544;203 968 438;155 766 760;B01;1;1;4;1;1969.0;5;8;-1;-1;0;0;-1
202400008544;203 968 440;155 766 762;A01;1;1;1;1;1993.0;1;8;-1;-1;0;0;-1
202400008551;203 968 421;155 766 748;A01;1;1;3;1;1977.0;9;8;-1;-1;0;0;-1
202400008551;203 968 425;155 766 751;B01;1;1;1;1;2002.0;0;1;-1;-1;0;0;-1
202400008558;203 968 401;155 766 735;A01;1;1;1;2;1983.0;3;1;0;-1;0;0;-1
202400008558;203 968 403;155 766 737;B01;1;1;4;1;1984.0;5;0;-1;-1;0;0;-1
202400008565;203 968 387;155 766 727;A01;10;3;4;2;1977.0;9;0;-1;-1;3;3;1
202400008565;203 968 389;155 766 727;A01;1;1;1;1;1962.0;5;1;8;-1;0;0;-1
202400008566;203 968 385;155 766 725;A01;1;1;3;1;1977.0;0;2;6;9;0;0;-1
202400008571;203 968 374;155 766 717;A01;1;1;1;1;1993.0;1;8;0;-1;0;0;-1
202400008571;203 968 375;155 766 718;B01;1;1;4;2;1967.0;1;8;0;-1;0;0;-1
202400008579;203 968 358;155 766 703;A01;1;1;4;2;2001.0;1;1;-1;-1;0;0;-1
202400008579;203 968 359;155 766 704;B01;1;1;4;2;1968.0;1;1;-1;-1;0;0;-1
202400008579;203 968 363;155 766 708;C01;1;1;1;2;1995.0;1;1;-1;-1;0;0;-1
202400008614;203 968 265;155 766 645;A01;1;1;3;1;2013.0;5;2;-1;-1;0;0;-1
202400008614;203 968 268;155 766 647;B01;1;1;1;1;1999.0;3;1;-1;-1;0;0;-1
202400008614;203 968 272;155 766 647;B01;2;2;1;2;1993.0;3;1;-1;-1;0;0;-1
202400008619;203 968 253;155 766 637;A01;1;1;3;1;2003.0;0;2;6;-1;0;0;-1
202400008640;203 968 208;155 766 604;A01;10;3;4;1;1966.0;5;0;-1;-1;5;B;2
202400008640;203 968 210;155 766 604;A01;1;1;1;2;1943.0;5;1;0;-1;-1; -1;-1
202400008648;203 968 192;155 766 590;A01;1;1;1;1;1987.0;0;1;-1;-1;0;0;-1
202400008648;203 968 193;155 766 591;B01;2;2;3;2;2002.0;0;2;6;-1;0;0;-1
202400008648;203 968 196;155 766 591;B01;1;1;3;1;1990.0;0;6;2;-1;0;0;-1
202400008649;203 968 189;155 766 587;A01;1;1;1;1;1984.0;0;1;8;-1;0;0;-1
202400008649;203 968 191;155 766 589;B01;1;1;3;1;1951.0;3;8;0;-1;0;0;-1
202400008669;203 968 135;155 766 548;A01;1;1;1;1;1972.0;4;1;-1;-1;0;0;-1
202400008669;203 968 140;155 766 551;B01;1;1;3;2;1972.0;5;1;-1;-1;0;0;-1
202400008676;203 968 121;155 766 537;A01;1;1;1;1;1997.0;1;8;0;-1;-1; -1;-1
202400008676;203 968 124;155 766 539;B01;1;1;4;2;1988.0;1;8;0;-1;-1; -1;-1
202400008704;203 968 051;155 766 483;A01;2;2;2;1;1997.0;1;0;-1;-1;0;0;-1
202400008704;203 968 053;155 766 483;A01;1;1;4;1;1991.0;1;2;-1;-1;0;0;-1
202400008714;203 968 021;155 766 462;A01;1;1;3;2;2003.0;1;1;-1;-1;0;0;-1
202400008714;203 968 027;155 766 464;B01;1;1;1;1;1967.0;1;1;-1;-1;0;0;-1
202400008719;203 968 009;155 766 454;B01;7;2;1;1;2018.0;0;1;-1;-1;0;0;-1
202400008719;203 968 010;155 766 454;B01;1;1;4;2;1995.0;0;1;-1;-1;0;0;-1
202400008719;203 968 012;155 766 456;A01;2;2;1;2;2010.0;0;1;-1;-1;0;0;-1
202400008719;203 968 014;155 766 456;A01;1;1;4;1;1998.0;0;1;-1;-1;0;0;-1
202400008741;203 967 953;155 766 413;C01;1;1;1;2;1998.0;1;1;0;-1;-1; -1;-1
202400008741;203 967 955;155 766 415;A01;1;1;4;1;1981.0;1;-1;6;-1;-1; -1;-1
202400008741;203 967 957;155 766 416;B01;1;1;1;2;1969.0;4;1;0;-1;-1; -1;-1
202400008742;203 967 952;155 766 412;A01;1;1;3;1;2003.0;1;8;-1;-1;0;0;-1
202400008782;203 967 861;155 766 340;A01;1;1;1;1;2001.0;4;1;-1;-1;0;0;-1
202400008782;203 967 863;155 766 340;A01;2;2;1;1;2000.0;4;1;-1;-1;0;0;-1
202400008782;203 967 865;155 766 342;B01;1;1;3;2;1949.0;0;1;-1;-1;0;0;-1
202400008787;203 967 845;155 766 326;A01;1;1;4;1;1994.0;4;8;-1;-1;0;0;-1
202400008787;203 967 847;155 766 328;B01;2;2;2;1;1975.0;0;0;-1;-1;0;0;-1
202400008787;203 967 848;155 766 328;B01;1;1;1;1;2003.0;0;8;-1;-1;0;0;-1
202400008851;203 967 691;155 766 220;A01;1;1;1;1;1982.0;4;1;0;-1;-1; -1;-1
202400008851;203 967 692;155 766 220;A01;10;3;4;1;1989.0;9;0;-1;-1;2;3;2
202400008851;203 967 693;155 766 220;A01;10;3;1;2;2021.0;0;0;-1;-1;2;3;2
202400008871;203 967 641;155 766 185;A01;1;1;1;1;1996.0;0;1;-1;-1;0;0;-1
202400008871;203 967 642;155 766 186;B01;1;1;3;1;1997.0;0;2;-1;-1;0;0;-1
202400008876;203 967 629;155 766 177;A01;1;1;3;1;1944.0;5;1;-1;-1;0;0;-1
202400008884;203 967 608;155 766 162;A01;10;3;4;1;1960.0;3;0;-1;-1;1;1;1
202400008884;203 967 610;155 766 162;A01;1;1;1;1;1997.0;4;1;-1;-1;0;0;-1
202400008887;203 967 601;155 766 158;A01;3;2;4;2;2002.0;5;1;0;0;-1; -1;-1
202400008887;203 967 602;155 766 158;A01;4;2;4;2;2002.0;5;1;0;0;-1; -1;-1
202400008887;203 967 603;155 766 158;A01;2;2;1;1;2001.0;5;1;0;0;-1; -1;-1
202400008887;203 967 604;155 766 158;A01;1;1;1;1;2002.0;5;1;0;0;-1; -1;-1
202400008894;203 967 577;155 766 144;A01;1;1;4;1;2000.0;0;2;0;-1;-1; -1;-1
202400008909;203 967 532;155 766 113;A01;1;1;1;2;1994.0;0;1;-1;-1;0;0;-1
202400008909;203 967 533;155 766 114;B01;1;1;3;1;1980.0;0;2;6;9;0;0;-1
202400008961;203 967 416;155 766 022;A01;1;1;1;2;1999.0;1;1;0;-1;-1; -1;-1
202400008961;203 967 417;155 766 023;B01;1;1;4;1;1969.0;1;1;0;-1;-1; -1;-1
202400008962;203 967 413;155 766 020;A01;1;1;4;1;2002.0;4;1;8;-1;-1; -1;-1
202400008962;203 967 414;155 766 021;B01;1;1;4;1;2002.0;4;1;9;-1;-1; -1;-1
202400008962;203 967 415;155 766 021;B01;2;2;4;1;2002.0;4;1;5;-1;-1; -1;-1
202400008963;203 967 411;155 766 018;A01;1;1;4;1;2005.0;0;2;6;-1;-1; -1;-1
202400008963;203 967 412;155 766 019;B01;1;1;4;2;1998.0;0;1;0;-1;-1; -1;-1
202400008973;203 967 392;155 766 002;A01;10;3;4;1;1971.0;4;0;-1;-1;6;9;1
202400008973;203 967 393;155 766 002;A01;1;1;1;1;1963.0;4;1;0;-1;-1; -1;-1
202400008977;203 967 384;155 765 996;A01;1;1;4;1;1993.0;1;2;8;-1;0;0;-1
202400008977;203 967 385;155 765 997;Z01;1;1;1;1;2000.0;0;1;0;-1;0;0;-1
202400008994;203 967 346;155 765 966;A01;1;1;1;2;1994.0;0;8;-1;-1;0;0;-1
202400008994;203 967 348;155 765 968;B01;1;1;3;1;1976.0;0;2;-1;-1;0;0;-1
202400008994;203 967 350;155 765 968;B01;2;2;1;1;2004.0;0;2;-1;-1;0;0;-1
202400009024;203 967 288;155 765 922;A01;2;2;4;1;1999.0;5;2;6;-1;0;0;-1
202400009024;203 967 290;155 765 922;A01;1;1;4;1;1999.0;5;2;6;-1;0;0;-1
202400009026;203 967 282;155 765 916;A01;1;1;1;2;1965.0;0;1;-1;-1;0;0;-1
202400009026;203 967 284;155 765 918;D01;1;1;1;1;2002.0;5;2;-1;-1;0;0;-1
202400009026;203 967 286;155 765 920;E01;1;1;1;1;2008.0;5;2;-1;-1;0;0;-1
